CGA,Placed
9.36,1
5.26,0
8.73,1
8.49,1
7.57,1
7.12,0
9.95,1
7.13,1
5.43,0
8.78,1
9.65,1
5.22,0
9.36,1
9.9,1
5.59,0
9.43,1
7.32,1
7.74,1
8.59,1
6.32,0
5.26,0
5.66,0
6.23,0
6.5,0
9.92,1
8.95,1
9.42,1
8.43,1
6.41,1
5.83,0
6.72,1
9.97,1
8.57,1
9.07,1
5.48,0
5.58,0
6.59,0
7.93,1
9.68,1
9.32,1
5.67,0
9.63,1
9.52,1
6.33,0
8.48,1
7.76,1
9.01,1
9.91,1
9.27,1
6.61,0
6.92,0
5.65,0
5.79,0
8.27,1
7.52,1
8.24,1
8.06,1
8.58,1
8.07,1
5.46,0
5.55,0
9.47,1
5.81,0
9.07,1
9.03,1
9.78,1
6.8,0
9.18,1
7.73,1
6.34,0
9.1,1
9.08,1
6.05,0
5.02,0
6.29,1
8.74,1
5.54,0
6.15,0
8.23,1
8.29,1
7.48,1
9.8,1
8.18,1
7.79,0
9.48,1
8.39,1
6.29,1
7.25,0
7.17,1
8.31,1
7.98,1
8.85,1
6.96,1
7.12,0
8.07,1
8.32,1
5.57,0
5.84,0
5.86,0
6.84,0
6.55,0
5.61,0
6.85,0
5.52,0
7.69,1
5.59,0
6.16,0
8.42,1
5.12,0
8.73,1
6.46,0
9.35,1
9.07,1
9.33,1
9.94,1
5.89,0
8.9,1
7.48,1
6.88,1
5.12,0
7.05,0
6.8,0
6.21,0
8.44,1
8.71,1
6.71,0
8.05,1
8.42,1
6.32,0
7.98,1
8.87,1
7.46,0
6.98,1
5.69,0
7.06,0
7.64,0
7.94,1
6.7,0
9.63,1
5.71,0
7.65,1
5.42,0
7.86,1
5.07,0
6.59,0
7.68,0
8.48,1
5.15,0
7.83,0
8.76,1
8.53,1
8.04,1
5.66,0
9.25,1
6.31,0
9.26,1
5.69,0
5.42,0
6.79,0
5.3,0
5.26,0
8.46,1
7.44,1
5.64,0
6.74,0
9.71,1
7.16,1
5.28,0
5.81,0
9.01,1
7.01,0
9.64,1
9.48,1
6.7,0
9.8,1
8.37,1
6.87,0
6.54,0
6.27,0
9.52,1
6.09,0
5.7,0
9.53,1
5.54,0
9.76,1
9.88,1
5.65,0
5.8,0
5.19,0
7.89,1
5.75,0
7.22,1
6.09,0
8.41,1
9.59,1
8.3,1
7.9,1
9.11,1
5.79,0
7.33,1
6.3,0
6.97,0
8.48,1
6.21,0
8.48,1
7.83,1
8.84,1
8.98,1
7.6,1
7.37,0
5.09,0
5.34,0
8.01,1
7.15,0
7.39,1
9.97,1
9.11,1
9.21,1
7.94,1
5.53,0
5.95,0
9.1,1
6.86,0
7.87,1
8.39,1
7.17,0
7.37,1
9.04,1
8.45,1
9.11,1
6.25,0
7.95,1
6.93,0
6.32,0
8.3,1
8.45,1
5.02,0
7.5,1
9.61,1
6.05,0
8.87,1
6.44,0
9.31,1
8.19,1
5.63,0
6.98,0
5.41,0
5.36,0
6.85,1
5.2,0
5.48,0
7.05,1
7.67,1
7.99,1
8.26,1
9.76,1
8.29,1
6.72,0
9.07,1
5.29,0
5.02,0
7.22,0
6.22,0
9.17,1
6.98,1
5.64,0
9.56,1
6.52,0
7.11,0
5.55,0
9.45,1
7.11,0
5.43,0
7.33,1
7.56,1
8.98,1
6.08,0
5.45,0
5.6,0
8.95,1
6.52,0
6.1,0
8.76,1
9.16,1
6.34,0
6.31,0
7.59,1
8.38,1
7.52,1
8.22,1
6.56,1
7.57,1
6.93,1
8.44,1
7.39,1
9.3,1
5.33,0
9.63,1
9.19,1
8.35,1
8.8,1
7.93,1
6.93,1
6.84,0
7.15,1
7.12,1
6.34,0
6.83,1
5.93,0
7.46,1
5.43,0
7.53,1
9.53,1
9.04,1
7.86,1
6.91,0
8.96,1
6.39,1
7.22,0
8.42,1
6.14,0
5.51,0
6.83,1
5.42,0
5.07,0
7.07,1
8.73,1
5.67,0
7.09,1
7.38,1
8.14,1
5.03,0
9.4,1
9.7,1
8.9,1
8.68,1
7.51,1
6.08,0
9.55,1
7.49,0
7.07,1
5.6,0
5.52,0
8.76,1
9.83,1
6.92,0
9.94,1
8.89,1
8.75,1
9.63,1
9.56,1
9.61,1
6.29,0
7.67,0
9.97,1
9.82,1
9.35,1
7.66,1
6.4,0
6.71,0
9.05,1
5.89,0
5.81,0
6.59,0
7.67,1
7.49,1
8.93,1
7.99,1
6.27,0
7.82,1
5.2,0
5.21,0
7.48,1
9.75,1
7.35,1
9.12,1
5.31,0
6.75,1
7.83,0
5.02,0
9.83,1
7.89,1
6.35,0
7.47,1
6.73,1
5.87,0
7.9,1
6.81,0
8.59,1
7.65,1
9.52,1
6.5,0
9.23,1
8.38,1
5.95,0
6.24,0
7.04,0
6.22,0
6.07,0
9.7,1
6.19,0
8.04,1
7.97,1
6.5,0
8.03,1
5.6,0
7.43,1
8.63,1
5.03,0
5.07,0
5.45,0
9.94,1
8.4,1
9.72,1
5.4,0
5.97,0
9.85,1
6.57,1
7.17,1
5.4,0
7.17,1
6.4,0
6.76,0
6.79,1
5.37,0
8.21,1
5.12,0
9.28,1
7.55,1
9.08,1
5.81,0
8.46,1
9.8,1
8.22,1
7.37,0
9.33,1
6.09,0
9.95,1
6.25,0
9.12,1
8.68,1
8.99,1
6.51,0
8.59,1
9.89,1
7.85,1
8.57,1
8.91,1
8.31,1
7.78,1
8.41,1
5.46,0
5.19,0
9.19,1
7.53,1
7.48,1
7.91,1
6.68,0
5.69,0
8.9,1
6.61,0
9.89,1
5.02,0
8.28,1
6.09,0
5.97,0
6.7,0
8.38,1
9.36,1
6.85,1
7.99,1
7.74,1
8.71,1
5.44,0
7.86,1
6.45,0
7.72,1
7.09,1
9.78,1
6.48,0
8.71,1
9.86,1
5.11,0
8.67,1
6.54,0
7.28,1
9.55,1
8.3,1
6.38,0
8.37,1
8.43,1
8.29,1
7.98,1
6.17,0
8.09,1
6.62,0
7.83,1
5.6,0
6.46,0
6.1,0
9.75,1
5.2,0
9.45,1
6.64,1
5.76,0
6.27,0
7.53,1
8.95,1
5.19,0
9.12,1
6.35,0
8.44,1
7.41,1
5.06,0
5.9,0
7.94,1
6.38,1
9.87,1
8.42,1
7.96,1
8.82,1
5.94,0
7.51,0
6.78,0
9.11,1
5.8,0
5.44,0
7.15,0
6.43,1
9.64,1
6.95,1
8.02,1
9.21,1
7.52,1
5.65,0
6.01,0
7.45,0
7.85,1
9.6,1
9.85,1
5.64,0
6.62,0
9.92,1
5.9,0
9.28,1
5.19,0
5.06,0
9.85,1
9.97,1
6.06,0
8.57,1
5.87,0
9.19,1
5.37,0
7.03,1
6.74,0
9.48,1
8.82,1
9.21,1
6.29,0
9.06,1
8.28,1
8.12,1
8.27,1
6.32,0
5.25,0
8.37,1
5.6,0
8.77,1
7.73,0
8.92,1
7.55,1
8.14,1
8.3,1
6.37,0
7.22,1
8.12,1
5.48,0
9.34,1
9.36,1
9.35,1
7.82,1
9.37,1
9.78,1
8.14,1
8.85,1
9.75,1
6.98,1
6.63,0
8.34,1
6.2,0
5.55,0
9.71,1
5.21,0
7.62,1
8.83,1
9.49,1
6.3,1
6.84,0
9.43,1
6.95,1
8.02,1
5.67,0
5.97,0
7.75,1
9.7,1
7.79,1
9.75,1
7.1,1
9.02,1
8.79,1
8.38,1
6.71,1
8.23,1
8.92,1
7.81,1
5.56,0
6.94,1
6.6,0
5.76,0
8.11,1
6.32,1
6.74,0
5.73,0
9.84,1
9.84,1
7.53,0
5.22,0
5.59,0
9.1,1
7.45,0
6.8,0
5.3,0
6.7,0
6.38,0
9.74,1
7.23,0
5.51,0
5.93,0
6.68,0
6.82,0
6.79,0
6.78,0
8.09,1
5.12,0
6.75,0
6.89,1
8.05,1
6.03,0
9.0,1
8.08,1
6.83,1
6.92,1
6.13,0
7.25,0
7.01,0
8.45,1
9.79,1
6.19,1
7.49,1
7.97,1
9.18,1
9.42,1
6.53,0
5.3,0
7.53,0
8.59,1
5.03,0
9.07,1
5.49,0
9.44,1
5.83,0
5.58,0
6.42,1
5.04,0
6.52,1
8.78,1
6.29,0
9.06,1
9.24,1
5.99,0
5.48,0
5.53,0
8.54,1
5.95,0
8.15,1
6.43,0
6.02,0
7.25,1
6.91,0
9.08,1
6.64,0
6.88,1
6.99,1
7.11,0
5.18,0
9.88,1
8.28,1
9.35,1
7.94,1
8.45,1
6.18,0
8.03,1
8.15,1
9.39,1
6.43,0
5.63,0
6.72,1
7.99,1
7.08,1
9.23,1
7.12,1
9.69,1
8.13,1
8.65,1
8.13,1
7.75,1
6.79,0
7.64,1
8.31,1
7.79,1
9.48,1
5.26,0
8.58,1
7.87,0
7.55,1
7.24,1
9.76,1
5.68,0
5.07,0
7.63,1
5.06,0
7.33,1
6.14,0
7.65,1
5.8,0
6.22,0
9.7,1
8.84,1
5.24,0
5.29,0
7.14,0
5.27,0
8.4,1
5.01,0
7.7,0
9.47,1
9.59,1
6.12,0
8.33,1
8.53,1
8.99,1
6.03,0
6.92,0
8.55,1
8.62,1
9.76,1
5.59,0
5.79,0
7.41,1
6.51,1
7.46,1
9.46,1
6.42,0
9.9,1
6.25,1
5.71,0
7.94,1
7.88,1
7.56,0
7.87,1
6.09,0
9.0,1
5.97,0
7.73,1
7.76,1
5.76,0
5.33,0
7.19,1
5.01,0
6.91,1
6.93,0
6.3,0
9.1,1
9.7,1
8.91,1
8.32,1
5.13,0
7.65,1
9.09,1
9.56,1
6.59,1
8.8,1
7.32,1
5.11,0
5.95,0
8.52,1
9.8,1
5.21,0
7.19,0
8.1,1
9.99,1
8.55,1
7.85,1
6.5,0
5.13,0
9.76,1
6.89,0
5.62,0
5.16,0
6.09,0
6.27,0
9.76,1
5.46,0
5.83,0
6.61,0
5.66,0
6.79,0
5.51,0
8.73,1
6.73,0
7.5,1
8.1,1
9.48,1
5.3,0
5.19,0
8.09,1
8.87,1
7.11,1
7.71,0
8.59,1
8.99,1
5.34,0
8.14,1
6.28,0
7.32,0
6.51,0
7.51,1
6.04,0
5.17,0
9.88,1
8.69,1
6.56,0
5.49,0
8.73,1
7.67,0
5.98,0
5.37,0
8.19,1
8.12,1
9.57,1
8.4,1
7.39,0
6.47,0
5.86,0
8.63,1
8.85,1
8.18,1
9.65,1
6.98,1
9.99,1
6.3,0
7.88,1
6.09,0
7.5,1
7.9,1
8.03,1
6.77,0
8.75,1
8.34,1
5.0,0
7.55,1
8.25,1
7.58,1
9.72,1
8.13,1
7.29,1
6.76,0
8.92,1
9.76,1
8.85,1
8.87,1
8.26,1
9.31,1
6.01,0
7.37,0
9.06,1
6.99,1
8.87,1
9.85,1
7.56,1
8.12,1
7.55,1
6.28,0
5.32,0
6.43,1
7.39,1
8.55,1
6.96,1
7.75,1
5.24,0
9.34,1
8.44,1
7.26,0
6.02,0
6.34,0
8.5,1
9.63,1
6.19,0
5.21,0
8.36,1
6.56,1
8.34,1
5.63,0
5.2,0
6.4,0
8.2,1
5.51,0
6.27,0
8.41,1
5.01,0
9.46,1
8.37,1
7.67,1
7.77,0
6.78,0
6.11,1
8.88,1
6.46,0
6.45,0
8.41,1
7.73,0
7.39,0
7.18,1
8.71,1
6.57,1
8.68,1
8.05,1
7.33,1
6.82,0
9.46,1
6.24,0
9.83,1
7.66,1
7.68,1
8.04,1
6.52,0
9.38,1
6.83,0
8.74,1
6.27,0
8.93,1
6.9,0
8.99,1
8.08,1
5.76,0
6.52,0
7.15,0
5.45,0
5.52,0
9.15,1
8.15,1
5.97,0
6.79,1
6.54,0
6.66,1
6.09,0
6.42,0
8.85,1
5.28,0
7.75,1
7.19,1
5.05,0
5.43,0
7.2,0
8.19,1
7.54,0
9.0,1
7.87,1
7.23,1
5.05,0
9.2,1
8.32,1
5.12,0
7.41,1
7.13,0
6.4,0
8.68,1
9.82,1
9.46,1
7.02,0
7.69,1
5.62,0
6.48,0
9.85,1
9.27,1
5.04,0
5.6,0
9.45,1
6.34,0
